Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,PCLK,Channel 15
11.359989584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359989968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359990088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359990472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359990584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359990968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359991088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359991472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359991584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359991968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359992088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359992472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359992584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359992968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359993088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359993472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359993584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359993968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359994088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359994472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359994584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359994968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359995088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359995472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359995584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359995968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359996088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359996472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359996584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359996968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359997088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359997472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359997584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359997968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359998088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359998472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359998584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359998968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359999088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359999472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359999584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359999968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360000088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360000472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360000584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360000968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360001080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360001472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360001584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360001968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360002080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360002472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360002584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360002968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360003088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360003472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360003584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360003968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360004088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360004472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360004584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360004968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360005080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360005464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360005584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360005968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360006080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360006464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360006584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360006968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360007080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360007464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360007584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360007968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360008080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360008464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360008584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360008968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360009080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360009464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360009584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360009968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360010080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360010464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360010584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360010968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360011080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360011464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360011584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360011968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360012080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360012464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360012584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360012968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360013080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360013464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360013584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360013968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360014080,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360014464,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.360014584,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.360014968,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
